block_id,bikes_allowed,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
a_19391,0,10,0,1,DOWNTOWN LOCAL,13272,2_merged_204560,180166,
a_19393,0,10,0,0,WALMART LOCAL,13271,3_merged_204554,180167,
a_19389,0,10,0,1,DOWNTOWN LOCAL,13272,2_merged_204560,180164,
a_19390,0,10,0,1,DOWNTOWN LOCAL,13272,2_merged_204560,180165,
a_19391,0,10,0,1,DOWNTOWN LOCAL,13272,2_merged_204560,180162,
a_19392,0,10,0,1,DOWNTOWN LOCAL,13272,2_merged_204560,180163,
a_19389,0,10,0,1,DOWNTOWN LOCAL,13272,2_merged_204560,180160,
a_19390,0,10,0,1,DOWNTOWN LOCAL,13272,2_merged_204560,180161,
a_20655,0,8,0,1,DOWNTOWN,13525,3_merged_204554,186596,
a_19394,0,10,0,0,WALMART LOCAL,13271,3_merged_204554,180168,
a_19395,0,10,0,0,WALMART LOCAL,13271,3_merged_204554,180169,
a_19928,0,60,0,0,JEFFERSON STREET,13496,3_merged_204554,185103,
a_19930,0,60,0,0,JEFFERSON STREET,13496,3_merged_204554,185102,
a_19927,0,60,0,0,JEFFERSON STREET,13496,3_merged_204554,185101,
a_19928,0,60,0,0,JEFFERSON STREET,13496,3_merged_204554,185100,
a_19927,0,60,0,0,JEFFERSON STREET,13496,3_merged_204554,185107,
a_19928,0,60,0,0,JEFFERSON STREET,13496,3_merged_204554,185106,
a_19930,0,60,0,0,JEFFERSON STREET,13496,3_merged_204554,185105,
a_19927,0,60,0,0,JEFFERSON STREET,13496,3_merged_204554,185104,
a_19928,0,60,0,1,RIVERFRONT,13498,3_merged_204554,185109,
a_19930,0,60,0,0,JEFFERSON STREET,13496,3_merged_204554,185108,
a_19478,0,22,0,0,DOWNTOWN,13328,1_merged_204553,181343,
a_19477,0,22,0,0,DOWNTOWN,13327,1_merged_204553,181342,
a_19480,0,22,0,0,DOWNTOWN,13325,1_merged_204553,181345,
a_19479,0,22,0,0,DOWNTOWN,13326,1_merged_204553,181344,
a_19480,0,22,0,0,DOWNTOWN,13325,1_merged_204553,181347,
a_19480,0,22,0,0,DOWNTOWN,13325,1_merged_204553,181346,
a_19481,0,22,0,0,DOWNTOWN,13325,1_merged_204553,181349,
a_19479,0,22,0,0,DOWNTOWN,13325,1_merged_204553,181348,
a_20655,0,8,0,1,DOWNTOWN,13525,3_merged_204554,186591,
a_19839,0,52_merged_204520,0,0,52A - HICKORY PLAZA,13474,1_merged_204553,183859,
a_19838,0,52_merged_204520,0,0,52A - HICKORY PLAZA,13474,1_merged_204553,183858,
a_19836,0,50_merged_204519,0,1,DOWNTOWN LIMITED STOPS,13473,2_merged_204560,183853,
a_19835,0,50_merged_204519,0,1,DOWNTOWN LIMITED STOPS,13473,2_merged_204560,183852,
a_19837,0,50_merged_204519,0,1,DOWNTOWN LIMITED STOPS,13473,2_merged_204560,183851,
a_19836,0,50_merged_204519,0,1,DOWNTOWN LIMITED STOPS,13473,2_merged_204560,183850,
a_19841,0,52_merged_204520,0,0,52A - HICKORY PLAZA,13474,1_merged_204553,183857,
a_19840,0,52_merged_204520,0,0,52A - HICKORY PLAZA,13474,1_merged_204553,183856,
a_19839,0,52_merged_204520,0,0,52A - HICKORY PLAZA,13474,1_merged_204553,183855,
a_19838,0,52_merged_204520,0,0,52A - HICKORY PLAZA,13474,1_merged_204553,183854,
b_21749,0,7,0,0,GREEN HILLS,14192,1_merged_204566,198958,
b_21746,0,7,0,0,GREEN HILLS,14192,1_merged_204566,198959,
b_21747,0,7,0,0,GREEN HILLS,14192,1_merged_204566,198952,
b_21746,0,7,0,0,GREEN HILLS,14192,1_merged_204566,198953,
b_21749,0,7,0,0,GREEN HILLS,14192,1_merged_204566,198950,
b_21750,0,7,0,0,GREEN HILLS,14192,1_merged_204566,198951,
b_21750,0,7,0,0,GREEN HILLS,14192,1_merged_204566,198956,
b_21747,0,7,0,0,GREEN HILLS,14192,1_merged_204566,198957,
b_21746,0,7,0,0,GREEN HILLS,14192,1_merged_204566,198954,
b_21748,0,7,0,0,GREEN HILLS,14192,1_merged_204566,198955,
a_19852,0,52_merged_204520,0,1,52A - DOWNTOWN,13477,2_merged_204560,184065,
b_20929,0,34,0,0,OPRY MILLS VIA ELLINGTON,14085,1_merged_204566,196073,
a_19525,0,52_merged_204520,0,1,52A - DOWNTOWN,13477,2_merged_204560,184064,
a_19559,0,3,0,1,DOWNTOWN,13385,1_merged_204553,182450,
a_19563,0,3,0,1,DOWNTOWN,13385,1_merged_204553,182451,
a_19559,0,3,0,1,DOWNTOWN,13386,1_merged_204553,182452,
a_19566,0,3,0,1,DOWNTOWN,13385,1_merged_204553,182453,
a_19566,0,3,0,1,DOWNTOWN,13386,1_merged_204553,182454,
a_19561,0,3,0,1,DOWNTOWN,13385,1_merged_204553,182455,
a_19567,0,3,0,0,WHITE BRIDGE,13382,2_merged_204560,182456,
a_19568,0,3,0,0,WHITE BRIDGE,13383,2_merged_204560,182457,
a_19568,0,3,0,0,WHITE BRIDGE,13383,2_merged_204560,182458,
a_19568,0,3,0,0,WHITE BRIDGE,13383,2_merged_204560,182459,
b_20929,0,34,0,0,OPRY MILLS VIA DONELSON,14087,1_merged_204566,196076,
b_20929,0,34,0,0,OPRY MILLS VIA ELLINGTON,14085,1_merged_204566,196075,
b_20929,0,34,0,0,OPRY MILLS VIA DONELSON,14087,1_merged_204566,196074,
a_19853,0,52_merged_204520,0,1,52A - DOWNTOWN,13477,2_merged_204560,184069,
a_19852,0,52_merged_204520,0,1,52A - DOWNTOWN,13477,2_merged_204560,184068,
b_21692,0,55_merged_204547,0,1,DOWNTOWN,14167,2_merged_204573,203618,
b_21693,0,55_merged_204547,0,1,DOWNTOWN,14167,2_merged_204573,203619,
b_21688,0,55_merged_204547,0,1,DOWNTOWN,14167,2_merged_204573,203614,
b_21689,0,55_merged_204547,0,1,DOWNTOWN,14167,2_merged_204573,203615,
b_21690,0,55_merged_204547,0,1,DOWNTOWN,14167,2_merged_204573,203616,
b_21691,0,55_merged_204547,0,1,DOWNTOWN,14167,2_merged_204573,203617,
b_21690,0,55_merged_204547,0,1,DOWNTOWN,14167,2_merged_204573,203610,
b_21691,0,55_merged_204547,0,1,DOWNTOWN,14167,2_merged_204573,203611,
b_21692,0,55_merged_204547,0,1,DOWNTOWN,14167,2_merged_204573,203612,
b_21693,0,55_merged_204547,0,1,DOWNTOWN,14167,2_merged_204573,203613,
b_21645,0,50_merged_204535,0,1,DOWNTOWN,14268,1_merged_204566,202569,
b_21647,0,50_merged_204535,0,1,DOWNTOWN,14268,1_merged_204566,202568,
b_21649,0,50_merged_204535,0,1,DOWNTOWN,14268,1_merged_204566,202565,
b_21647,0,50_merged_204535,0,1,DOWNTOWN,14268,1_merged_204566,202564,
b_21650,0,50_merged_204535,0,1,DOWNTOWN,14268,1_merged_204566,202567,
b_21645,0,50_merged_204535,0,1,DOWNTOWN,14268,1_merged_204566,202566,
b_21645,0,50_merged_204535,0,1,DOWNTOWN,14268,1_merged_204566,202561,
b_21649,0,50_merged_204535,0,1,DOWNTOWN,14268,1_merged_204566,202560,
b_21650,0,50_merged_204535,0,1,DOWNTOWN,14268,1_merged_204566,202563,
