service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
4_merged_225460,20200329,20200530,1,1,1,1,1,0,0
4_merged_225466,20200531,20200801,1,1,1,1,1,0,0
3_merged_225457,20200329,20200530,0,0,0,0,0,0,1
8_merged_225468,20200531,20200801,1,1,1,1,1,0,0
2_merged_225464,20200531,20200801,0,0,0,0,0,1,0
3_merged_225463,20200531,20200801,0,0,0,0,0,0,1
2_merged_225458,20200329,20200530,0,0,0,0,0,1,0
5_merged_225465,20200531,20200801,0,0,0,0,0,1,0
5_merged_225459,20200329,20200530,0,0,0,0,0,1,0
8_merged_225462,20200329,20200530,1,1,1,1,1,0,0
