stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
36.140864,,21ADIXSN,-86.800365,,,,21ST AV S & DIXIE PL,21ST AVE S & DIXIE PL SB,0,21ADIXSN,
36.151248,,12ADIVSN,-86.784419,,,,,12TH AVE S & DIVISION ST SB,0,12ADIVSN,
36.187775,,DOMMETEN,-86.798861,,,,,DOMINICAN DR & METRO CENTER BLVD EB,0,DOMMETEN,
36.187722,,PORPONSF,-86.729639,,,,,PORTER RD & PONTOTOC AVE SB,0,PORPONSF,
36.136868,,WED17AEN,-86.795931,,,,WEDGEWOOD & 17 AVE,WEDGEWOOD AVE & 17TH AVE S EB,0,WED17AEN,
36.108232,,POWPOWNM,-86.765569,,,,,POWELL AVE & POWELL PL NB,0,POWPOWNM,
36.171678,,WOO5SEN,-86.764955,,,,,WOODLAND ST & S 5TH ST EB,0,WOO5SEN,
36.192437,,COUDOAWM,-86.834602,,,,,COUNTY HOSPITAL RD & DOAK AVE WB,0,COUDOAWM,
36.19142,,COUDOAWN,-86.83582,,,,,COUNTY HOSPITAL RD & DOAK AVE WB,0,COUDOAWN,
36.11292,,MURKNIEN,-86.689366,,,,MURFREESBORO & MCGAVOCK,MURFREESBORO PIKE & KNIGHT VALLEY D,0,MURKNIEN,
36.257412,,GXIMADLB,-86.714068,,,,,MADISON STATION INBOUND,0,GXIMADLB,
36.177012,,16SWOOSN,-86.741988,,,,N 16TH ST & PORTER RD,16TH ST & WOODLAND ST SB,0,16SWOOSN,
36.088293,,MXINASHB,-86.649284,,,,,NASHBORO STATION INBOUND,0,MXINASHB,
36.182274,,23ASEINF,-86.814331,,,,23RD AV N & SEIFRIED ST,23RD AVE N & SEIFRIED ST NB,0,23ASEINF,
35.861601,,AGEXPO,-86.826882,,,,4205 LONG LN,WILLIAMSON CO AG EXPO,0,AGEXPO,
36.148364,,ROYPEREM,-86.674225,,,,ROYAL PKWY & RACHEL PKWY,ROYAL PKWY & PERIMETER PL EB,0,ROYPEREM,
36.196843,,DICLUCNF,-86.771548,,,,DICKERSON PK & LUCILE ST,DICKERSON PIKE & LUCILE ST NB,0,DICLUCNF,
36.172867,,FAT19SEN,-86.737132,,,,,FATHERLAND ST & S 19TH ST EB,0,FAT19SEN,
36.163373,,LEBEASWN,-86.699707,,,,,LEBANON PIKE & EASTHAVEN TOWNHOMES,0,LEBEASWN,
36.189506,,LEBBONWM,-86.627722,,,,LEBANON & HICKORY HILL,LEBANON PIKE & BONNABROOK DR SB,0,LEBBONWM,
36.149347,,BRO20AWM,-86.798393,,,,BROADWAY & 20 AVE,BROADWAY AVE & 20TH AVE S WB,0,BRO20AWM,
36.157036,,BRO11AEN,-86.786292,,,,BROADWAY & 11TH AV N,BROADWAY AVE & 11TH AVE N EB,0,BRO11AEN,
36.321196,,JOEL,-86.867084,,,,,JOELTON FAMILY DOLLAR P & R,0,JOEL,
36.130578,,WESLAUEF,-86.836706,,,,,WEST END AVE & LAUDERDALE RD EB,0,WESLAUEF,
36.20057,,GALBURNN,-86.740034,,,,,GALLATIN PK & BURCHWOOD AV,0,GALBURNN,
36.130886,,WESWHIEN,-86.835761,,,,WEST END & WHITLAND,WEST END AVE & MOCKING BIRD RD EB,0,WESWHIEN,
35.849366,,BURWALWN,-86.392944,,,,,BURTON ST & WALNUT ST WB,0,BURWALWN,
36.167896,,LEBOLDWN,-86.663903,,,,,LEBANON PIKE & OLD LEBANON RD WB,0,LEBOLDWN,
36.176552,,23AOSANN,-86.813598,,,,23RD AV N & OSAGE,23RD AVE N & OSAGE ST,0,23AOSANN,
36.14472,,ELMMASEN,-86.711248,,,,ELM HILL PK & MASSMAN DR,ELMHILL PK & MASSMAN DR EB,0,ELMMASEN,
36.157437,,HERPEAEN,-86.770645,,,,,HERMITAGE AVE & PEABODY ST EB,0,HERPEAEN,
36.171135,,JEF12AEN,-86.79961,,,,JEFFERSON & 12 AVE,JEFFERSON ST & 12TH AVE N EB,0,JEF12AEN,
36.127614,,12ALINNN,-86.789082,,,,12TH AV S & LINDEN AV,12TH AVE S & LINDEN AVE NB,0,12ALINNN,
36.110077,,THOWINWF,-86.73481,,,,,THOMPSON LN & WINGATE AVE WB,0,THOWINWF,
36.078213,,HARMILEM,-86.730132,,,,HARDING PL & SHADESCREST DR,HARDING PIKE & MILNER DR EB,0,HARMILEM,
36.077845,,HARMILEF,-86.731238,,,,,HARDING PIKE & MILNER DR EB,0,HARMILEF,
36.125078,,FRAINVNF,-86.776593,,,,US HWY 31 & FRANKLIN PIKE,FRANKLIN PIKE & INVERNESS AVE NB,0,FRAINVNF,
36.168816,,JEFI40EF,-86.811235,,,,JEFFERSON & I40,JEFFERSON ST & I-40 EB,0,JEFI40EF,
36.074995,,H70OLDWN,-86.919547,,,,,HWY 70 & OLD HICKORY BLVD WB,0,H70OLDWN,
36.210728,,JONFLANN,-86.755202,,,,FLAMINGO & SLAYDEN,JONES AVE  & FLAMINGO DR NB,0,JONFLANN,
36.168009,,JEFI40EN,-86.817577,,,,JEFFERSON & I40 W,JEFFERSON ST & I-40 EB,0,JEFI40EN,
36.219861,,TUCKINNN,-86.826493,,,,,TUCKER RD & KINGS LN NB,0,TUCKINNN,
36.224016,,GXIINGF,-86.725718,,,,,INGLEWOOD STATION INBOUND,0,GXIINGF,
36.163749,,39AALASN,-86.833864,,,,,39TH AVE N & ALAMEDA ST SB,0,39AALASN,
36.19301,,LEBJUASN,-86.62348,,,,LEBANON PK & JUAREZ DR,LEBANON PIKE & JUAREZ DR NB,0,LEBJUASN,
36.12221,,FRAHORNN,-86.775663,,,,FRANKLIN PK & HORNER AV,FRANKLIN PIKE & HORNER AVE NB,0,FRAHORNN,
36.101951,,HARHAREN,-86.870292,,,,HARDING RD & HARDING PLACE,HARDING PIKE & HARDING PL EB,0,HARHAREN,
36.155586,,51AGEONF,-86.848664,,,,,51ST AVE N & GEORGIA AVE NB,0,51AGEONF,
36.199854,,BUEKIRNF,-86.82531,,,,,BUENA VISTA PK & KIRK AVE NB,0,BUEKIRNF,
36.094437,,MURFRANN,-86.653178,,,,MURFREESBORO & OLD MURFREESBORO,MURFREESBORO PIKE & FRANKLIN LIMEST,0,MURFRANN,
36.184954,,PORTILSF,-86.731504,,,,,PORTER RD & TILLMAN LN SB,0,PORTILSF,
36.198447,,DICMARNM,-86.770684,,,,DICKERSON PK & FERN AV,DICKERSON PIKE & MARIE MB,0,DICMARNM,
35.84836,,NHIEBUNF,-86.383141,,,,,N HIGHLAND AVE & E BURTON ST NB,0,NHIEBUNF,
36.235556,,MOOWILNF,-86.77501,,,,,MOOREWOOD DR & WILMOTH RD NB,0,MOOWILNF,
36.107739,,MURDELEN,-86.677328,,,,MURFREESBORO & DELL PARKWAY,MURFREESBORO PIKE & DELL PKWY EB,0,MURDELEN,
36.194317,,MCGSTOSN,-86.673155,,,,,MCGAVOCK PIKE & STONES RIVER RD SB,0,MCGSTOSN,
36.149462,,CHALAFSN,-86.762447,,,,,CHARLES E DAVIS BLVD & LAFAYETTE ST SB,0,CHALAFSN,
36.165893,,4AVDEASN,-86.780414,,,,4TH AVE N & DEADERICK ST,4TH AVE & DEADERICK ST SB,0,4AVDEASN,
36.102964,,MURTOWEF,-86.666093,,,,US HWY 41 & MURFREESBORO PIKE,MURFREESBORO PIKE & TOWN PARK DR EB,0,MURTOWEF,
36.241059,,CHENEENF,-86.67336,,,,,CHEYENNE BLVD & NEELY'S BEND RD NB,0,CHENEENF,
36.273885,,GALANDNF,-86.709877,,,,N GALLATIN PK,N GALLATIN PIKE & ANDERSON LN NB,0,GALANDNF,
36.109606,,THOSELEN,-86.732269,,,,,THOMPSON LN & SELENA DR EB,0,THOSELEN,
36.210825,,SLAOAKE,-86.753878,,,,SLAYDEN & OAKWOOD,SLAYDON DR & OAKWOOD AVE EB,0,SLAOAKE,
36.187591,,COUHYDWM,-86.839847,,,,COUNTY HOSPITAL & HYDES FERRY,COUNTY HOSPITAL RD & HYES FERRY RD,0,COUHYDWM,
36.188382,,COUHYDWF,-86.838941,,,,COUNTY HOSPITAL RD & HYDES FERRY RD,COUNTY HOSPITAL RD & HYES FERRY RD WB,0,COUHYDWF,
36.24323,,CHERAISN,-86.767688,,,,CHESAPEAKE DR & RAIN WOOD,CHESAPEAKE DR & RAINWOOD DR SB,0,CHERAISN,
36.202481,,BAPHAYN,-86.788702,,,,,BAPTIST WORLD CENTER DR. & HAYNES MEADE CIR NB,0,BAPHAYN,
36.121215,,MXIGLENG,-86.703814,,,,,GLENGARRY STATION INBOUND,0,MXIGLENG,
36.183683,,MERHANNN,-86.768456,,,,,MERIDIAN ST & HANCOCK ST NB,0,MERHANNN,
36.175539,,16SHOLSN,-86.742213,,,,,S 16TH ST & HOLLY ST SB,0,16SHOLSN,
36.262388,,OHRIOVSW,-86.680929,,,,,OLD HICKORY BLVD PAST RIO VISTA WB,0,OHRIOVSW,
36.261113,,GALMAPNN,-86.712488,,,,,GALLATIN PIKE & MAPLE ST NB,0,GALMAPNN,
36.162409,,HER22AWN,-86.810284,,,,HERMAN & 22 AVE,HERMAN ST & 22ND AVE N WB,0,HER22AWN,
36.161028,,TEN50AWN,-86.847693,,,,,TENNESSEE AVE & 50TH AVE WB,0,TEN50AWN,
36.244805,,CHEWOOSN,-86.767814,,,,CHESAPEAKE DR & WOOD TRAIL,CHESAPEAKE DR & WOOD TRL SB,0,CHEWOOSN,
36.143158,,MURFESWF,-86.745103,,,,,MURFREESBORO PIKE & FESSLERS LN WB,0,MURFESWF,
36.117135,,ETHOLDNN,-86.719031,,,,,E THOMPSON LN & OLD GLENROSE NB,0,ETHOLDNN,
36.168654,,JAM6AWN,-86.785174,,,,5 AVE & JAMES ROBERTSON,JAMES ROBERTSON PKWY & 6TH AVE N WB,0,JAM6AWN,
36.132223,,WESCAREN,-86.831601,,,,,WEST END AVE & CARDEN AVE EB,0,WESCAREN,
36.106063,,NXIMORTN,-86.742599,,,,US HWY 31 ALT & MORTON AVE,MORTON STATION INBOUND,0,NXIMORTN,
35.849241,,BURWALEF,-86.393012,,,,,BURTON ST & WALNUT ST EB,0,BURWALEF,
36.107799,,MURDELWN,-86.676468,,,,,MURFREESBORO PIKE & DELL PKWY WB,0,MURDELWN,
